Nome,ALG FTP,FM 23-24,FM 22-23,FM 21-22,attributi,Res. Inf.
DIA,89/100,6.91,6.53,7.82,"['Outsider', 'Panchinaro', 'Buona Media', 'Goleador', 'Rigorista']",40%
BOLOCA,62/100,nd,5.81,nd,"['Outsider', 'Titolare', 'Falloso']",60%
CASSA,53/100,nd,nd,nd,"['Panchinaro', 'Giovane talento']",20%
KARLSSON,61/100,6.09,5.90,nd,['Panchinaro'],40%
MKHITARYAN,80/100,6.34,6.70,6.39,"['Fuoriclasse', 'Titolare', 'Buona Media', 'Assistman']",40%
MASINI,54/100,nd,nd,nd,"['Titolare', 'Buona Media']",60%
FLORIANI,54/100,nd,nd,nd,"['Outsider', 'Panchinaro', 'Falloso', 'Giovane talento']",60%
ESPOSITO,74/100,nd,nd,nd,"['Outsider', 'Panchinaro', 'Buona Media', 'Giovane talento']",80%
SAZONOV,45/100,5.00,5.69,nd,"['Panchinaro', 'Falloso', 'Giovane talento']",60%
TOURE,61/100,nd,6.71,nd,"['Panchinaro', 'Giovane talento']",40%
VALENTINI,53/100,5.43,nd,nd,['Titolare'],60%
FALCONE,84/100,4.85,4.79,5.09,"['Titolare', 'Buona Media']",80%
CHUKWUEZE,70/100,6.87,6.05,nd,['Panchinaro'],60%
GALLO,73/100,5.62,6.00,5.65,"['Titolare', 'Buona Media']",40%
HARROUI,54/100,6.40,6.84,6.24,['Titolare'],60%
DOUVIKAS,64/100,6.75,nd,nd,"['Outsider', 'Titolare', 'Goleador']",60%
PAVLOVIC,72/100,6.11,nd,nd,"['Outsider', 'Titolare', 'Buona Media', 'Falloso']",40%
TRAORE,52/100,nd,10.00,nd,"['Panchinaro', 'Giovane talento']",60%
LEALI,60/100,5.10,5.50,nd,['Titolare'],60%
DEMBELÉ,56/100,5.89,nd,nd,"['Panchinaro', 'Giovane talento']",60%
VECINO,71/100,6.44,6.85,6.05,"['Panchinaro', 'Buona Media']",60%
MARTIN,76/100,6.34,5.84,nd,"['Outsider', 'Titolare', 'Goleador', 'Assistman']",60%
