NomeFCP,Ruolo,SquadraFCP,ALG,FM1,FM2,FM3,Attributi,ResInf
GHILARDI DANIELE,D,Roma,69/100,5.95,5.54,nd,Titolare | Falloso | Giovane talento,60%
OSTIGARD LEO,D,Genoa,69/100,6.52,nd,5.97,Outsider | Titolare | Falloso,80%
ZAPPA GABRIELE,D,Cagliari,68/100,5.98,5.88,5.90,Titolare | Buona Media | Falloso,60%
SABELLI STEFANO,D,Genoa,68/100,5.65,5.93,5.87,Titolare | Buona Media | Falloso,60%
KAIKI BRUNO,D,Como,68/100,nd,nd,nd,Titolare | Buona Media,60%
MUHAREMOVIć TARIK,D,Sassuolo,68/100,5.89,nd,nd,Titolare | Buona Media | Giovane talento,60%
LUCUMI' JHON,D,Bologna,68/100,5.89,5.71,6.09,Titolare,60%
MINA YERRY,D,Cagliari,68/100,6.17,6.05,6.39,Titolare | Buona Media | Rigorista | Falloso,40%
HOLM EMIL,D,Bologna,67/100,6.44,6.13,6.16,Outsider | Panchinaro | Buona Media | Falloso,60%
OBRADOR RAFA,D,Torino,67/100,6.62,nd,nd,Panchinaro | Falloso,60%
KAMARA HASSANE,D,Udinese,67/100,5.87,6.05,6.12,Titolare | Assistman,60%
,D,,N/A,N/A,N/A,N/A,,N/A
PROVSTGAARD OLIVER,D,Lazio,66/100,5.85,6.50,nd,Panchinaro,60%
KRISTENSEN THOMAS,D,Udinese,66/100,6.23,5.65,5.73,Panchinaro | Giovane talento,40%
HIEN ISAK,D,Atalanta,66/100,5.86,5.78,5.85,Outsider | Titolare | Buona Media | Falloso,60%
JIMENEZ ALEX,D,Fiorentina,66/100,5.00,5.83,nd,Panchinaro | Giovane talento,60%
VAN DER BREMPT IGNACE,D,Como,66/100,5.96,5.94,nd,Panchinaro | Assistman | Giovane talento,40%
GABRIEL TIAGO,D,Lecce,65/100,6.01,6.25,nd,Panchinaro | Giovane talento,60%
,D,,N/A,N/A,N/A,N/A,,N/A
PAVARD BENJAMIN,D,Inter,65/100,6.50,6.05,6.28,Titolare | Buona Media,60%
LAZZARI MANUEL,D,Lazio,65/100,5.74,5.86,5.91,Titolare | Buona Media | Assistman,80%
MARCANDALLI ALESSANDRO,D,Genoa,65/100,5.84,5.75,nd,Panchinaro | Giovane talento,60%
KOLASINAC SEAD,D,Atalanta,65/100,5.94,6.09,6.07,Titolare,40%
DE WINTER KONI,D,Milan,64/100,5.86,6.23,5.73,Titolare | Buona Media | Giovane talento,60%
ESTUPINAN PERVIS,D,Milan,64/100,5.71,nd,nd,Outsider | Titolare | Assistman,60%
EBOSSE ENZO,D,Torino,64/100,5.71,5.25,nd,Titolare,60%
AHANOR HONEST,D,Atalanta,64/100,5.70,nd,nd,Outsider | Panchinaro | Goleador | Giovane talento,80%
CIRCATI ALESSANDRO,D,Parma,64/100,5.92,5.75,nd,Outsider | Titolare | Falloso | Giovane talento,60%
DE VRIJ STEFAN,D,Inter,63/100,6.06,6.60,6.41,Panchinaro | Buona Media,60%
ISMAJLI ARDIAN,D,Torino,62/100,5.90,6.11,5.67,Titolare | Buona Media,60%
,D,,N/A,N/A,N/A,N/A,,N/A
VEIGA DANILO,D,Lecce,62/100,5.69,5.73,nd,Titolare | Giovane talento,60%
