Nome,Squadra,Presenze,MediaVoto,Fantamedia,Gol,GolSubiti,Rigori,RigoriParati,Assist,Ammonizioni,Espulsioni
Dodo',FIO,35.0,6.19,6.21,0.0,0.0,0 / 0,0.0,5.0,8.0,0.0
Gatti,JUV,28.0,6.14,6.21,1.0,0.0,0 / 0,0.0,0.0,2.0,0.0
Delprato,PAR,34.0,6.03,6.21,4.0,2.0,0 / 0,0.0,0.0,8.0,0.0
Zalewski,INT,19.0,6.03,6.21,1.0,0.0,0 / 0,0.0,2.0,3.0,0.0
Gineitis,TOR,28.0,5.95,6.21,3.0,0.0,0 / 0,0.0,1.0,5.0,0.0
Ellertsson,VEN,35.0,6.01,6.21,2.0,0.0,0 / 0,0.0,2.0,2.0,0.0
Ikone',COM,23.0,5.96,6.2,2.0,0.0,0 / 0,0.0,0.0,1.0,0.0
Gabbia,MIL,25.0,6.04,6.2,2.0,0.0,0 / 0,0.0,0.0,4.0,0.0
Fadera,COM,24.0,6.0,6.19,1.0,0.0,0 / 0,0.0,3.0,1.0,1.0
Rensch,ROM,8.0,6.06,6.19,0.0,0.0,0 / 0,0.0,1.0,0.0,0.0
Vasquez,GEN,36.0,6.06,6.18,3.0,0.0,0 / 0,0.0,0.0,9.0,0.0
McKennie,JUV,31.0,5.94,6.18,2.0,0.0,0 / 0,0.0,3.0,3.0,0.0
Ebuehi,EMP,3.0,6.17,6.17,0.0,0.0,0 / 0,0.0,0.0,0.0,0.0
Rrahmani,NAP,38.0,6.14,6.17,1.0,0.0,0 / 0,0.0,1.0,2.0,0.0
Masini,GEN,18.0,6.06,6.17,1.0,0.0,0 / 0,0.0,0.0,2.0,0.0
Lykogiannis,BOL,16.0,6.0,6.16,0.0,0.0,0 / 0,0.0,4.0,3.0,0.0
Miranda J.,BOL,29.0,6.05,6.16,0.0,0.0,0 / 0,0.0,6.0,4.0,1.0
Marusic,LAZ,31.0,5.85,6.16,4.0,0.0,0 / 0,0.0,0.0,1.0,0.0
Perez K.,VEN,16.0,6.03,6.16,1.0,0.0,0 / 0,0.0,1.0,4.0,0.0
